genus,species,infrarank,infraspecies,symbol,stz,ind_stz,contract
Purshia,stansburiana,,,PUST,Desert SW provisional,5,ARIZONA STRIP
Elymus,elymoides,,,ELEL5,Climate Similarity Zone ,"1, 2, 5, 6 ",ARIZONA STRIP
Elymus,trachycaulus,,,ELTR7,Desert SW provisional,5,ARIZONA STRIP
Eriogonum,inflatum,,,ERIN4,Desert SW provisional,5,ARIZONA STRIP
Eriogonum,racemosum,,,ERRA3,Desert SW provisional,5,ARIZONA STRIP
Eriogonum,ovalifolium,,,EROV,Desert SW provisional,5,ARIZONA STRIP
Festuca,idahoensis,,,FEID,Desert SW provisional,5,ARIZONA STRIP
Grayia,spinosa,,,GRSP,Desert SW provisional,5,ARIZONA STRIP
Heliomeris,multiflora,,,HEMU3,Climate Similarity Zone ,3,ARIZONA STRIP
Hesperostipa,comata,,,HECO26,Desert SW provisional,5,ARIZONA STRIP
Hilaria,jamesii,,,PLJA,Genetic Seed Transfer Zone ,8,ARIZONA STRIP
Hilaria,rigida,,,PLRI3,Desert SW provisional,5,ARIZONA STRIP
Krascheninnikovia,lanata,,,KRLA2,Desert SW provisional,5,ARIZONA STRIP
Leymus,cinereus,,,LECI4,Desert SW provisional,5,ARIZONA STRIP
Lupinus,argenteus,,,LUAR3,Desert SW provisional,5,ARIZONA STRIP
Lupinus,caudatus,,,LUCA,Desert SW provisional,5,ARIZONA STRIP
Machaeranthera,canescens,,,DICA18,Climate Similarity Zone ,1,ARIZONA STRIP
Muhlenbergia,porteri,,,MUPO2,Desert SW provisional,5,ARIZONA STRIP
Muhlenbergia,richardsonis,,,MURI,Desert SW provisional,5,ARIZONA STRIP
Muhlenbergia,torreyi,,,MUTO2,Desert SW provisional,5,ARIZONA STRIP
Nicotiana,attenuata,,,NIAT,Desert SW provisional,5,ARIZONA STRIP
Pascopyrum,smithii,,,PASM,Desert SW provisional,5,ARIZONA STRIP
Penstemon,palmeri,,,PEPA8,Desert SW provisional,5,ARIZONA STRIP
Penstemon,parryi,,,PEPA24,Desert SW provisional,5,ARIZONA STRIP
Poa,secunda,,,POSE,Desert SW provisional,5,ARIZONA STRIP
Purshia,glandulosa,,,PUGL2,Desert SW provisional,5,ARIZONA STRIP
Purshia,stansburiana,,,PUST,Desert SW provisional,5,ARIZONA STRIP
Purshia,tridentata,,,PUTR2,Desert SW provisional,5,ARIZONA STRIP
Ribes,cereum,,,RICE,Desert SW provisional,5,ARIZONA STRIP
Scleropogon,brevifolius,,,SCBR2,Desert SW provisional,5,ARIZONA STRIP
Sphaeralcea,ambigua,,,SPAM2,Desert SW provisional,5,ARIZONA STRIP
Sphaeralcea,rusbyi,,,SPRU2,Desert SW provisional,5,ARIZONA STRIP
Sporobolus,cryptandrus,,,SPCO4,Genetic Seed Transfer Zone ,"2, 3 ",ARIZONA STRIP
